cell_id,lon,lat,hora,riesgo_dyn
700114,-76.582826,3.456558,21,76.63
700114,-76.582826,3.456558,22,73.53
700114,-76.582826,3.456558,23,67.73
700116,-76.582826,3.459248,0,50.34
700116,-76.582826,3.459248,1,48.71
700116,-76.582826,3.459248,2,47.09
700116,-76.582826,3.459248,3,46.11
700116,-76.582826,3.459248,4,47.09
700116,-76.582826,3.459248,5,48.71
700116,-76.582826,3.459248,6,50.34
700116,-76.582826,3.459248,7,51.96
700116,-76.582826,3.459248,8,52.61
700116,-76.582826,3.459248,9,52.93
700116,-76.582826,3.459248,10,53.58
700116,-76.582826,3.459248,11,54.23
700116,-76.582826,3.459248,12,55.21
700116,-76.582826,3.459248,13,55.86
700116,-76.582826,3.459248,14,56.51
700116,-76.582826,3.459248,15,57.16
700116,-76.582826,3.459248,16,58.46
700116,-76.582826,3.459248,17,61.05
700116,-76.582826,3.459248,18,63.33
700116,-76.582826,3.459248,19,64.95
700116,-76.582826,3.459248,20,64.95
700116,-76.582826,3.459248,21,64.3
700116,-76.582826,3.459248,22,61.7
700116,-76.582826,3.459248,23,56.83
800114,-76.581478,3.456558,0,58.84
800114,-76.581478,3.456558,1,56.94
800114,-76.581478,3.456558,2,55.04
800114,-76.581478,3.456558,3,53.9
800114,-76.581478,3.456558,4,55.04
800114,-76.581478,3.456558,5,56.94
800114,-76.581478,3.456558,6,58.84
800114,-76.581478,3.456558,7,60.74
800114,-76.581478,3.456558,8,61.5
800114,-76.581478,3.456558,9,61.87
800114,-76.581478,3.456558,10,62.63
800114,-76.581478,3.456558,11,63.39
800114,-76.581478,3.456558,12,64.53
800114,-76.581478,3.456558,13,65.29
800114,-76.581478,3.456558,14,66.05
800114,-76.581478,3.456558,15,66.81
800114,-76.581478,3.456558,16,68.33
800114,-76.581478,3.456558,17,71.36
800114,-76.581478,3.456558,18,74.02
800114,-76.581478,3.456558,19,75.92
800114,-76.581478,3.456558,20,75.92
800114,-76.581478,3.456558,21,75.16
800114,-76.581478,3.456558,22,72.12
800114,-76.581478,3.456558,23,66.43
900114,-76.580131,3.456558,0,51.13
900114,-76.580131,3.456558,1,49.48
900114,-76.580131,3.456558,2,47.84
900114,-76.580131,3.456558,3,46.85
900114,-76.580131,3.456558,4,47.84
900114,-76.580131,3.456558,5,49.48
900114,-76.580131,3.456558,6,51.13
900114,-76.580131,3.456558,7,52.78
900114,-76.580131,3.456558,8,53.44
900114,-76.580131,3.456558,9,53.77
900114,-76.580131,3.456558,10,54.43
900114,-76.580131,3.456558,11,55.09
900114,-76.580131,3.456558,12,56.08
900114,-76.580131,3.456558,13,56.74
900114,-76.580131,3.456558,14,57.4
900114,-76.580131,3.456558,15,58.06
900114,-76.580131,3.456558,16,59.38
900114,-76.580131,3.456558,17,62.02
900114,-76.580131,3.456558,18,64.33
900114,-76.580131,3.456558,19,65.98
900114,-76.580131,3.456558,20,65.98
900114,-76.580131,3.456558,21,65.32
900114,-76.580131,3.456558,22,62.68
900114,-76.580131,3.456558,23,57.73
1000112,-76.578784,3.453868,0,68.07
1000112,-76.578784,3.453868,1,65.87
1000112,-76.578784,3.453868,2,63.68
1000112,-76.578784,3.453868,3,62.36
1000112,-76.578784,3.453868,4,63.68
1000112,-76.578784,3.453868,5,65.87
1000112,-76.578784,3.453868,6,68.07
1000112,-76.578784,3.453868,7,70.26
1000112,-76.578784,3.453868,8,71.14
1000112,-76.578784,3.453868,9,71.58
1000112,-76.578784,3.453868,10,72.46
1000112,-76.578784,3.453868,11,73.34
1000112,-76.578784,3.453868,12,74.66
1000112,-76.578784,3.453868,13,75.53
1000112,-76.578784,3.453868,14,76.41
1000112,-76.578784,3.453868,15,77.29
1000112,-76.578784,3.453868,16,79.05
1000112,-76.578784,3.453868,17,82.56
1000112,-76.578784,3.453868,18,85.63
1000112,-76.578784,3.453868,19,87.83
1000112,-76.578784,3.453868,20,87.83
1000112,-76.578784,3.453868,21,86.95
1000112,-76.578784,3.453868,22,83.44
1000112,-76.578784,3.453868,23,76.85
1000113,-76.578784,3.455213,0,68.87
1000113,-76.578784,3.455213,1,66.65
1000113,-76.578784,3.455213,2,64.43
1000113,-76.578784,3.455213,3,63.1
1000113,-76.578784,3.455213,4,64.43
1000113,-76.578784,3.455213,5,66.65
1000113,-76.578784,3.455213,6,68.87
1000113,-76.578784,3.455213,7,71.1
1000113,-76.578784,3.455213,8,71.98
1000113,-76.578784,3.455213,9,72.43
1000113,-76.578784,3.455213,10,73.32
1000113,-76.578784,3.455213,11,74.21
1000113,-76.578784,3.455213,12,75.54
1000113,-76.578784,3.455213,13,76.43
1000113,-76.578784,3.455213,14,77.32
1000113,-76.578784,3.455213,15,78.21
1000113,-76.578784,3.455213,16,79.98
1000113,-76.578784,3.455213,17,83.54
1000113,-76.578784,3.455213,18,86.65
1000113,-76.578784,3.455213,19,88.87
1000113,-76.578784,3.455213,20,88.87
1000113,-76.578784,3.455213,21,87.98
1000113,-76.578784,3.455213,22,84.43
1000113,-76.578784,3.455213,23,77.76
1000114,-76.578784,3.456558,0,52.26
1000114,-76.578784,3.456558,1,50.57
1000114,-76.578784,3.456558,2,48.89
1000114,-76.578784,3.456558,3,47.88
1000114,-76.578784,3.456558,4,48.89
1000114,-76.578784,3.456558,5,50.57
1000114,-76.578784,3.456558,6,52.26
1000114,-76.578784,3.456558,7,53.94
1000114,-76.578784,3.456558,8,54.62
1000114,-76.578784,3.456558,9,54.96
1000114,-76.578784,3.456558,10,55.63
1000114,-76.578784,3.456558,11,56.3
1000114,-76.578784,3.456558,12,57.32
1000114,-76.578784,3.456558,13,57.99
1000114,-76.578784,3.456558,14,58.66
1000114,-76.578784,3.456558,15,59.34
1000114,-76.578784,3.456558,16,60.69
1000114,-76.578784,3.456558,17,63.38
1000114,-76.578784,3.456558,18,65.74
1000114,-76.578784,3.456558,19,67.43
1000114,-76.578784,3.456558,20,67.43
1000114,-76.578784,3.456558,21,66.76
1000114,-76.578784,3.456558,22,64.06
1000114,-76.578784,3.456558,23,59.0
1000115,-76.578784,3.457903,0,59.34
1000115,-76.578784,3.457903,1,57.43
1000115,-76.578784,3.457903,2,55.51
1000115,-76.578784,3.457903,3,54.36
1000115,-76.578784,3.457903,4,55.51
1000115,-76.578784,3.457903,5,57.43
1000115,-76.578784,3.457903,6,59.34
1000115,-76.578784,3.457903,7,61.26
1000115,-76.578784,3.457903,8,62.02
1000115,-76.578784,3.457903,9,62.4
1000115,-76.578784,3.457903,10,63.17
1000115,-76.578784,3.457903,11,63.94
1000115,-76.578784,3.457903,12,65.08
1000115,-76.578784,3.457903,13,65.85
1000115,-76.578784,3.457903,14,66.62
1000115,-76.578784,3.457903,15,67.38
1000115,-76.578784,3.457903,16,68.91
1000115,-76.578784,3.457903,17,71.98
1000115,-76.578784,3.457903,18,74.66
1000115,-76.578784,3.457903,19,76.57
1000115,-76.578784,3.457903,20,76.57
1000115,-76.578784,3.457903,21,75.8
1000115,-76.578784,3.457903,22,72.74
1000115,-76.578784,3.457903,23,67.0
1100111,-76.577436,3.452523,0,49.78
1100111,-76.577436,3.452523,1,48.17
1100111,-76.577436,3.452523,2,46.57
1100111,-76.577436,3.452523,3,45.6
1100111,-76.577436,3.452523,4,46.57
1100111,-76.577436,3.452523,5,48.17
1100111,-76.577436,3.452523,6,49.78
